Year,Site,,y,x,class,,,Row Labels,2018,2019,2021,2022,2023,2024,
2018,WBNP-HAY-11,2018WBNP-HAY-11,59.77705,-111.55067,CS,,,WBNP-HAY-01,,MW,,MW,MW,MW,
2018,WBNP-HAY-12,2018WBNP-HAY-12,59.58795,-111.44531,CS,,,WBNP-HAY-02,,DA,,MW,MW,DA,
2018,WBNP-HAY-13,2018WBNP-HAY-13,59.61848,-111.43548,CS,,,WBNP-HAY-03,,DA,,DA,DA,DA,
2018,WBNP-HAY-14,2018WBNP-HAY-14,59.69541,-111.53848,DA,,,WBNP-HAY-04,,CS,,CS,BOG/FEN,BOG/FEN,
2018,WBNP-HWY-11,2018WBNP-HWY-11,60.02206,-112.95889,CS,,,WBNP-HAY-11,CS,,,,,,
2018,WBNP-HWY-12,2018WBNP-HWY-12,60.02726,-112.95693,MW,,,WBNP-HAY-12,CS,,,,,,
2018,WBNP-HWY-13,2018WBNP-HWY-13,60.02983,-112.96724,DA,,,WBNP-HAY-13,CS,,,,,,
2018,WBNP-HWY-14,2018WBNP-HWY-14,60.03383,-113.04795,CP,,,WBNP-HAY-14,DA,,,,,,
2018,WBNP-HWY-05,2018WBNP-HWY-05,60.02869,-113.08873,RG (MW),,,WBNP-HAY-21,,,DA,,,,
2018,WBNP-HWY-07,2018WBNP-HWY-07,60.07369,-113.31947,CS,,,WBNP-HAY-22,,,CS,,,,
2018,WBNP-HWY-08,2018WBNP-HWY-08,60.07375,-113.32622,CS,,,WBNP-HAY-23,,,CS,,,,
2018,WBNP-LALA-21,2018WBNP-LALA-21,59.52234,-112.21834,CS,,,WBNP-HAY-24,,,CS,,,,
2018,WBNP-LALA-22,2018WBNP-LALA-22,59.51786,-112.21595,MW,,,WBNP-HWY-01,,MW,MW,MW,MW,MW,
2018,WBNP-LALA-23,2018WBNP-LALA-23,59.51387,-112.22472,MW,,,WBNP-HWY-02,,MW,DA,MW,MW,MW,
2018,WBNP-LALA-24,2018WBNP-LALA-24,59.50865,-112.22287,CS,,,WBNP-HWY-03,,DA,DA,MW,MW,MW,
2018,WBNP-LALA-25,2018WBNP-LALA-25,59.52562,-112.22845,CS,,,WBNP-HWY-04,,MW,CS,MW,CS,CS,
2018,WBNP-LALA-26,2018WBNP-LALA-26,59.53151,-112.23119,CS,,,WBNP-HWY-05,RG (MW),,,,,,
2018,WBNP-LALA-27,2018WBNP-LALA-27,59.52767,-112.21689,MW,,,WBNP-HWY-07,CS,,,,,,
2018,WBNP-LALA-28,2018WBNP-LALA-28,59.53067,-112.21216,CS,,,WBNP-HWY-08,CS,,,,,,
2018,WBNP-LALA-29,2018WBNP-LALA-29,59.5331,-112.20939,MW,,,WBNP-HWY-11,CS,,,,,,
2018,WBNP-LALA-30,2018WBNP-LALA-30,59.53329,-112.19811,MW,,,WBNP-HWY-12,MW,,,,,,
2018,WBNP-LALA-31,2018WBNP-LALA-31,59.53388,-112.20356,MW,,,WBNP-HWY-13,DA,,,,,,
2018,WBNP-LOOP-01,2018WBNP-LOOP-01,59.81031,-112.029,CS,,,WBNP-HWY-14,CP,,,,,,
2018,WBNP-LOOP-02,2018WBNP-LOOP-02,59.80683,-112.0211,MW,,,WBNP-HWY-21,,RG,,,,,
2018,WBNP-LOOP-13,2018WBNP-LOOP-13,59.79638,-112.01282,CS,,,WBNP-HWY-22,,BOG/FEN,,,,,
2018,WBNP-LOOP-14,2018WBNP-LOOP-14,59.79817,-112.00964,CS,,,WBNP-LALA-01,,MW,MW,MW,,CS,
2018,WBNP-MILE-11,2018WBNP-MILE-11,60.13398,-113.6765,MW,,,WBNP-LALA-02,,CP,CS,MW,,MW,
2018,WBNP-PARS-21,2018WBNP-PARS-21,59.72356,-112.20094,MW,,,WBNP-LALA-03,,MW,CS,CS,,CP,
2018,WBNP-PARS-22,2018WBNP-PARS-22,59.7271,-112.17233,DA,,,WBNP-LALA-04,,MW,CS/CP,CP,,CS/CP,
2018,WBNP-PARS-23,2018WBNP-PARS-23,59.71512,-112.17868,CS,,,WBNP-LALA-05,,MW,,CS,,MW,
2018,WBNP-PARS-24,2018WBNP-PARS-24,59.70251,-112.1716,CP,,,WBNP-LALA-06,,MW,,MW,,MW,
2018,WBNP-PARS-25,2018WBNP-PARS-25,59.9338,-112.45371,MW,,,WBNP-LALA-07,,MW,,MW,,MW,
2018,WBNP-PARS-26,2018WBNP-PARS-26,59.9427,-112.45205,MW,,,WBNP-LALA-08,,MW,,MW,,MW,
2018,WBNP-PARS-27,2018WBNP-PARS-27,59.93098,-112.44325,MW,,,WBNP-LALA-21,CS,,,,,,
2018,WBNP-PARS-28,2018WBNP-PARS-28,59.73571,-112.20304,RG,,,WBNP-LALA-22,MW,,,,,,
2018,WBNP-PARS-29,2018WBNP-PARS-29,59.74374,-112.21706,RG,,,WBNP-LALA-23,MW,,,,,,
2018,WBNP-PARS-20,2018WBNP-PARS-20,59.73984,-112.25542,CP,,,WBNP-LALA-24,CS,,,,,,
2018,WBNP-PCPT-01,2018WBNP-PCPT-01,59.45677,-112.31653,MW,,,WBNP-LALA-25,CS,,,,,,
2018,WBNP-PCPT-02,2018WBNP-PCPT-02,59.35662,-112.47673,CP,,,WBNP-LALA-26,CS,,,,,,
2018,WBNP-PCPT-03,2018WBNP-PCPT-03,59.34777,-112.47235,DA,,,WBNP-LALA-27,MW,,,,,,
2018,WBNP-PCPT-04,2018WBNP-PCPT-04,59.30383,-112.46995,DA,,,WBNP-LALA-28,CS,,,,,,
2018,WBNP-PLRD-11,2018WBNP-PLRD-11,59.81577,-111.9789,DA,,,WBNP-LALA-29,MW,,,,,,
2018,WBNP-PLRD-12,2018WBNP-PLRD-12,59.81076,-111.97874,MW,,,WBNP-LALA-30,MW,,,,,,
2018,WBNP-PLRD-13,2018WBNP-PLRD-13,59.81155,-111.9986,CS,,,WBNP-LALA-31,MW,,,,,,
