"","sites","x2018","x2019","x2021","x2022","x2023","x2024","y2018","y2019","y2021","y2022","y2023","y2024","dist2018.2019","dist2019.2021","dist2021.2022","dist2022.2023","dist2023.2024","dist2018.2021","dist2019.2022","dist2021.2023","dist2022.2024","dist2018.2022","dist2019.2023","dist2021.2024","dist2018.2023","dist2019.2024","dist2018.2024"
"1","WBNP-HAY-01",NA,-111.54823,NA,-111.54823,-111.548269,-111.548269,NA,59.72194,NA,59.72194,59.72195,59.72195,NA,NA,NA,2.45575002406505,0,NA,0,NA,2.45575002406505,NA,2.45575002406505,NA,NA,2.45575002406505,NA
"2","WBNP-HAY-02",NA,-111.5564,NA,-111.5564,-111.556449,-111.556449,NA,59.71985,NA,59.71985,59.719868,59.719868,NA,NA,NA,3.40289164999753,0,NA,0,NA,3.40289164999753,NA,3.40289164999753,NA,NA,3.40289164999753,NA
"3","WBNP-HAY-03",NA,-111.55397,NA,-111.55397,-111.55401,-111.55401,NA,59.72566,NA,59.72566,59.725679,59.725679,NA,NA,NA,3.08427849894061,0,NA,0,NA,3.08427849894061,NA,3.08427849894061,NA,NA,3.08427849894061,NA
"4","WBNP-HAY-04",NA,-111.56017,NA,-111.56017,-111.560141,-111.560141,NA,59.72876,NA,59.72876,59.728733,59.728733,NA,NA,NA,3.41790262127863,0,NA,0,NA,3.41790262127863,NA,3.41790262127863,NA,NA,3.41790262127863,NA
"5","WBNP-HAY-11",-111.55067,NA,NA,NA,NA,NA,59.77705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","WBNP-HAY-12",-111.44531,NA,NA,NA,NA,NA,59.58795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","WBNP-HAY-13",-111.43548,NA,NA,NA,NA,NA,59.61848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","WBNP-HAY-14",-111.53848,NA,NA,NA,NA,NA,59.69541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","WBNP-HAY-21",NA,NA,-111.53187,NA,NA,NA,NA,NA,59.74084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","WBNP-HAY-22",NA,NA,-111.54064,NA,NA,NA,NA,NA,59.74152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","WBNP-HAY-23",NA,NA,-111.54565,NA,NA,NA,NA,NA,59.73773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","WBNP-HAY-24",NA,NA,-111.53676,NA,NA,NA,NA,NA,59.73725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
