species_common_name,general_type,migration,feeding,breeding_substrate,foraging_type,substrate_nesting,habitat_nesting
Alder Flycatcher,S,NM,In,Air,Sal,Sh,TSS
American Crow,G,,,,,,Ur
American Goldfinch,,,,,,,
American Redstart,,,,,,,MW
American Robin,G,SDM,Om,LCS,Fo,TNs,Ur
American Woodcock,,,,,,,
Bald Eagle,,,,,,,
Baltimore Oriole,,,,,,,OW
Bay-breasted Warbler,,,,,,,CW
Belted Kingfisher,,,,,,,
Black-and-white Warbler,,,,,,,MW
Black-backed Woodpecker,S,R,In,Ba,Sca,Sn,CW
Black-capped Chickadee,,,,,,,
Black-throated Blue Warbler,,,,,,,MW
Black-throated Green Warbler,,,,,,,CW
Blackburnian Warbler,,,,,,,CW
Blackpoll Warbler,,,,,,,CW
Blue Jay,G,,,,,,OW
Blue-headed Vireo,S,SDM,In,LCS,Gl,CT,MW
Boreal Chickadee,S,R,In,LCS,Gl,Sn,CW
Brown Creeper,,,,,,,CW
Brown-headed Cowbird,,,,,,,Ag
Canada Goose,,,,,,,
Canada Jay,G,R,Om,UC,Fo,CT,CW
Canada Warbler,,,,,,,MW
Cape May Warbler,,,,,,,CW
Cedar Waxwing,,,,,,,
Chestnut-sided Warbler,,,,,,,MW
Chipping Sparrow,G,SDM,Om,Gr,Fo,CT,OW
Clay-colored Sparrow,G,NM,Om,Gr,Fo,Sh,ES
Common Grackle,,,,,,,
Common Loon,,,,,,,
Common Nighthawk,S,NM,In,Air,Scr,Gr,OW
Common Raven,,,,,,,
Common Tern,,,,,,,
Common Yellowthroat,S,NM,In,LCS,Gl,Gr,Ma
Dark-eyed Junco,G,SDM,Om,Gr,Fo,Gr,CW
Downy Woodpecker,G,,,,,,MW
Eastern Kingbird,,,,,,,
Eastern Phoebe,,,,,,,
Eastern Wood-Pewee,S,,,,,,OW
European Starling,G,,,,,,Ur
Evening Grosbeak,,,,,,,
Fox Sparrow,G,SDM,Om,Gr,Fo,Gr,OW
Gadwall,,,,,,,
Golden-crowned Kinglet,S,,,,,,CW
Gray Catbird,S,,,,,,MW
Greater Yellowlegs,S,SDM,Pi,Wa,Am,Gr,Bo
Hairy Woodpecker,,,,,,,MW
Hermit Thrush,S,SDM,In,Gr,Gl,Gr,CW
Indigo Bunting,,,,,,,
Killdeer,,,,,,,
Least Flycatcher,S,NM,In,Air,Sal,DT,DW
LeConte's Sparrow,G,SDM,Om,Gr,Fo,Gr,Me
Lesser Yellowlegs,S,SDM,In,Wa,Gl,Gr,Bo
Lincoln's Sparrow,G,SDM,Om,Gr,Fo,Gr,Bo
Lincoln's Sparrow,,,,,,,TSS
Magnolia Warbler,,,,,,,MW
Mallard,,,,,,,
Mountain Bluebird,S,SDM,In,Gr,Gl,Sn,OW
Mourning Dove,,,,,,,
Mourning Warbler,,,,,,,MW
Nashville Warbler,,,,,,,ES
Northern Flicker,S,SDM,In,Gr,Gl,Sn,MW
Northern Parula,,,,,,,OW
Northern Saw-whet Owl,,,,,,,
Northern Waterthrush,,,,,,,
Olive-sided Flycatcher,S,NM,In,Air,Sal,CT,Bo
Orange-crowned Warbler,S,SDM,In,LCS,Gl,Gr,OW
Osprey,,,,,,,
Ovenbird,S,NM,In,Gr,Gl,Gr,DW
Palm Warbler,S,SDM,In,Gr,Gl,Gr,Bo
Philadelphia Vireo,,,,,,,MW
Pied-billed Grebe,,,,,,,
Pileated Woodpecker,S,R,In,Ba,Ex,Sn,MW
Pine Siskin,,,,,,,
Pine Warbler,,,,,,,CW
Purple Finch,,,,,,,
Red-breasted Nuthatch,,,,,,,
Red-eyed Vireo,,,,,,,MW
Red-necked Pheasant,,,,,,,Ag
Red-winged Blackbird,S,SDM,Om,Gr,Fo,Gs,Ma
Ring-billed Gull,,,,,,,
Ruby-crowned Kinglet,S,SDM,In,UC,Gl,CT,CW
Ruffed Grouse,G,R,Om,Gr,Fo,Gr,MW
Rusty Blackbird,,,,,,,TSS
Savannah Sparrow,G,SDM,Om,Gr,Fo,Gr,Ag
Solitary Sandpiper,S,NM,In,Wa,Gl,TNS,Bo
Song Sparrow,,,,,,,
Sora,S,SDM,Om,Wa,Fo,EV,Ma
Spotted Sandpiper,S,NM,In,Sh,Gl,Gr,Be
Swainson's Thrush,G,NM,Om,Gr,Fo,CT,MW
Swamp Sparrow,G,SDM,Om,Gr,Fo,Gr,Ma
Tennessee Warbler,S,NM,In,UC,Gl,Gr,Bo
Tree Swallow,,,,,,,
Veery,,,,,,,MW
Vesper Sparrow,,,,,,,Ag
Warbling Vireo,,,,,,,MW
Western Wood-Pewee,S,NM,In,Air,Sal,CT,OW
White-breasted Nuthatch,,,,,,,
White-crowned Sparrow,G,SDM,Om,Gr,Fo,Gr,Bo
White-throated Sparrow,G,SDM,Om,Gr,Fo,Gr,ES
White-winged Crossbill,,,,,,,
Wilson's Snipe,,,,,,,
Wilson's Warbler,,,,,,,
Winter Wren,,,,,,,
Yellow Warbler,S,NM,In,LCS,Gl,Sh,ES
Yellow-bellied Flycatcher,S,NM,In,Air,Sal,Gr,Bo
Yellow-bellied Sapsucker,G,SDM,Om,Ba,Ex,DT,MW
Yellow-rumped Warbler,S,SDM,In,LCS,Gl,CT,CW
