bsm_id,bsm_scientific_name,bsm_common_name,bsm_species_id,exists_in_wt
24,Accipiter cirrocephalus,Collared Sparrowhawk,,t
26,Accipiter fasciatus,Brown Goshawk,,t
27,Accipiter gentilis,Eurasian Goshawk,942,t
28,Accipiter gularis,Japanese Sparrowhawk,,t
29,Accipiter hiogaster,Variable Goshawk,,t
30,Accipiter melanoleucus,Black Goshawk,,t
31,Accipiter minullus,Little Sparrowhawk,,t
33,Accipiter novaehollandiae,Grey Goshawk,,t
34,Accipiter poliogaster,Grey-bellied Hawk,2327,t
38,Accipiter tachiro,African Goshawk,,t
39,Accipiter trinotatus,Spot-tailed Goshawk,,t
40,Accipiter trivirgatus,Crested Goshawk,,t
41,Accipiter virgatus,Besra,,t
42,Aceros nipalensis,Rufous-necked Hornbill,,t
43,Achaetops pycnopygius,Rockrunner,,f
44,Acridotheres burmannicus,Burmese Myna,,t
45,Acridotheres cristatellus,Crested Myna,,t
46,Acridotheres fuscus,Jungle Myna,,t
47,Acridotheres ginginianus,Bank Myna,,t
48,Acridotheres grandis,Great Myna,,t
49,Acridotheres javanicus,Javan Myna,,f
52,Acris gryllus,Southern Cricket Frog,,f
53,Acrobatornis fonsecai,Pink-legged Graveteiro,,f
56,Acrocephalus australis,Australian Reed Warbler,,t
57,Acrocephalus baeticatus,African Reed Warbler,,t
58,Acrocephalus bistrigiceps,Black-browed Reed Warbler,,t
59,Acrocephalus concinens,Blunt-winged Warbler,,f
61,Acrocephalus gracilirostris,Lesser Swamp Warbler,,t
62,Acrocephalus griseldis,Basra Reed Warbler,,f
64,Acrocephalus newtoni,Madagascar Swamp Warbler,,t
65,Acrocephalus orientalis,Oriental Reed Warbler,,t
68,Acrocephalus rufescens,Greater Swamp Warbler,,t
70,Acrocephalus scirpaceus,Common Reed Warbler,4628,t
71,Acrocephalus stentoreus,Clamorous Reed Warbler,,t
72,Acrocephalus tangorum,Manchurian Reed Warbler,,t
73,Acropternis orthonyx,Ocellated Tapaculo,,t
74,Actenoides concretus,Rufous-collared Kingfisher,,t
75,Actenoides lindsayi,Spotted Kingfisher,,t
76,Actenoides monachus,Green-backed Kingfisher,,t
77,Actinodura cyanouroptera,Blue-winged Minla,,t
78,Actinodura egertoni,Rusty-fronted Barwing,,t
79,Actinodura nipalensis,Hoary-throated Barwing,,t
80,Actinodura ramsayi,Spectacled Barwing,,t
81,Actinodura strigula,Chestnut-tailed Minla,,t
82,Actinodura waldeni,Streak-throated Barwing,,t
85,Actophilornis africanus,African Jacana,,t
86,Adelomyia melanogenys,Speckled Hummingbird,,t
90,Aegithalos concinnus,Black-throated Tit,,t
91,Aegithalos glaucogularis,Silver-throated Tit,,t
92,Aegithalos iouschistos,Black-browed Tit,,f
93,Aegithalos niveogularis,White-throated Tit,,t
94,Aegithina nigrolutea,White-tailed Iora,,t
95,Aegithina tiphia,Common Iora,,t
96,Aegithina viridissima,Green Iora,,t
98,Aegolius funereus,Tengmalm's Owl,830,t
99,Aegolius harrisii,Buff-fronted Owl,,t
101,Aegotheles cristatus,Australian Owlet-nightjar,,t
104,Aerodramus fuciphagus,White-nest Swiftlet,,f
105,Aerodramus maximus,Black-nest Swiftlet,,f
106,Aeronautes andecolus,Andean Swift,,t
107,Aeronautes montivagus,White-tipped Swift,,t
111,Aethopyga christinae,Fork-tailed Sunbird,,t
112,Aethopyga gouldiae,Mrs. Gould's Sunbird,,t
113,Aethopyga ignicauda,Fire-tailed Sunbird,,t
114,Aethopyga nipalensis,Green-tailed Sunbird,,t
115,Aethopyga saturata,Black-throated Sunbird,,t
116,Aethopyga siparaja,Crimson Sunbird,,t
117,Aethopyga temminckii,Temminck's Sunbird,,t
118,Aethopyga vigorsii,Vigors's Sunbird,,t
119,Agapornis canus,Grey-headed Lovebird,,f
120,Agapornis fischeri,Fischer's Lovebird,,t
121,Agapornis personatus,Yellow-collared Lovebird,,t
123,Agapornis taranta,Black-winged Lovebird,,t
124,Agelaioides badius,Greyish Baywing,,t
126,Agelaius tricolor,Tricoloured Blackbird,2001,t
127,Agelasticus cyanopus,Unicoloured Blackbird,,t
128,Agelasticus thilius,Yellow-winged Blackbird,,t
129,Agelasticus xanthophthalmus,Pale-eyed Blackbird,,f
130,Aglaiocercus coelestis,Violet-tailed Sylph,,t
131,Aglaiocercus kingii,Long-tailed Sylph,,t
132,Agriornis montanus,Black-billed Shrike-Tyrant,,t
133,Agropsar philippensis,Chestnut-cheeked Starling,,t
134,Agropsar sturninus,Daurian Starling,,f
135,Ailuroedus crassirostris,Green Catbird,,t
136,Ailuroedus maculosus,Spotted Catbird,,t
142,Akletos goeldii,Goeldi's Antbird,,t
143,Akletos melanoceps,White-shouldered Antbird,,t
144,Alaemon alaudipes,Greater Hoopoe-Lark,,t
146,Alauda gulgula,Oriental Skylark,,t
147,Alaudala cheleensis,Asian Short-toed Lark,,t
148,Alaudala heinei,Turkestan Short-toed Lark,,f
149,Alaudala raytal,Sand Lark,,t
150,Alaudala rufescens,Mediterranean Short-toed Lark,,t
151,Alaudala somalica,Somali Short-toed Lark,,f
154,Alcedo meninting,Blue-eared Kingfisher,,t
155,Alcippe brunneicauda,Brown Fulvetta,,t
156,Alcippe fratercula,Yunnan Fulvetta,,t
157,Alcippe hueti,Huet's Fulvetta,,t
158,Alcippe morrisonia,Morrison's Fulvetta,,t
159,Alcippe nipalensis,Nepal Fulvetta,,t
160,Alcippe peracensis,Mountain Fulvetta,,t
161,Alcippe poioicephala,Brown-cheeked Fulvetta,,t
162,Alcippe pyrrhoptera,Javan Fulvetta,,t
163,Aleadryas rufinucha,Rufous-naped Bellbird,,t
168,Alectura lathami,Australian Brushturkey,,t
169,Alethe castanea,Fire-crested Alethe,,t
170,Alethe diademata,White-tailed Alethe,,t
171,Alipiopsitta xanthops,Yellow-faced Parrot,,t
172,Alisterus scapularis,Australian King-Parrot,,t
174,Allonemobius allardi,Allard's Ground Cricket,,f
175,Allonemobius tinnulus,Tinkling Ground Cricket,,f
176,Allonemobius walkeri,Walker's Ground Cricket,,f
177,Alophoixus finschii,Finsch's Bulbul,,f
178,Alophoixus flaveolus,White-throated Bulbul,,t
179,Alophoixus ochraceus,Ochraceous Bulbul,,t
180,Alophoixus pallidus,Puff-throated Bulbul,,t
181,Alophoixus phaeocephalus,Yellow-bellied Bulbul,,t
182,Alophoixus tephrogenys,Grey-cheeked Bulbul,,f
183,Alopochelidon fucata,Tawny-headed Swallow,,t
185,Alouatta pigra,Mexican Black Howler Monkey,,f
186,Amalocichla incerta,Lesser Ground-Robin,,t
189,Amaurornis isabellina,Isabelline Bush-hen,,t
190,Amaurornis moluccana,Pale-vented Bush-hen,,t
191,Amaurornis phoenicurus,White-breasted Waterhen,,t
193,Amaurospiza moesta,Blackish-blue Seedeater,,t
198,Amazilis amazilia,Amazilia Hummingbird,,f
199,Amazona aestiva,Turquoise-fronted Parrot,,t
