Year,Site,x,y,class
2018,WBNP-HAY-01,59.77705,-111.55067,CS
2018,WBNP-HAY-02,59.58795,-111.44531,CS
2018,WBNP-HAY-03,59.61848,-111.43548,CS
2018,WBNP-HAY-04,59.69541,-111.53848,DA
2018,WBNP-HWY-01,60.02206,-112.95889,CS
2018,WBNP-HWY-02,60.02726,-112.95693,MW
2018,WBNP-HWY-03,60.02983,-112.96724,DA
2018,WBNP-HWY-04,60.03383,-113.04795,CP
2018,WBNP-HWY-05,60.02869,-113.08873,RG (MW)
2018,WBNP-HWY-06,,,DA
2018,WBNP-HWY-07,60.07369,-113.31947,CS
2018,WBNP-HWY-08,60.07375,-113.32622,CS
2018,WBNP-LALA-01,59.52234,-112.21834,CS dry
2018,WBNP-LALA-02,59.51786,-112.21595,MW
2018,WBNP-LALA-03,59.51387,-112.22472,MW
2018,WBNP-LALA-04,59.50865,-112.22287,CS bog
2018,WBNP-LALA-05,59.52562,-112.22845,CS dry
2018,WBNP-LALA-06,59.53151,-112.23119,CS dry
2018,WBNP-LALA-07,59.52767,-112.21689,MW
2018,WBNP-LALA-08,59.53067,-112.21216,CS dry
2018,WBNP-LALA-09,59.5331,-112.20939,MW
2018,WBNP-LALA-10,59.53329,-112.19811,MW
2018,WBNP-LALA-11,59.53388,-112.20356,MW
2018,WBNP-LOOP-01,59.80683,-112.0211,CS dry
2018,WBNP-LOOP-02,59.81031,-112.029,MW
2018,WBNP-LOOP-03,59.79638,-112.01282,CS
2018,WBNP-LOOP-04,59.79817,-112.00964,CS dry
2018,WBNP-MILE-01,60.13398,-113.6765,MW
2018,WBNP-PARS-01,59.72356,-112.20094,MW
2018,WBNP-PARS-02,59.7271,-112.17233,DA
2018,WBNP-PARS-03,59.71512,-112.17868,CS
2018,WBNP-PARS-04,59.70251,-112.1716,CP
2018,WBNP-PARS-05,59.9338,-112.45371,MW
2018,WBNP-PARS-06,59.9427,-112.45205,MW
2018,WBNP-PARS-07,59.93098,-112.44325,MW
2018,WBNP-PARS-08,59.73571,-112.20304,RG
2018,WBNP-PARS-09,59.74374,-112.21706,RG
2018,WBNP-PARS-10,59.73984,-112.25542,CP
